source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
mg/dL,0,JNJ_CERNER_UNITS,Milligrams per Deciliter,0,,1970-01-01,2099-12-31,
mg/day,0,JNJ_CERNER_UNITS,Milligrams per Day,0,,1970-01-01,2099-12-31,
mg/g,0,JNJ_CERNER_UNITS,Milligrams per Gram,0,,1970-01-01,2099-12-31,
mg/h,0,JNJ_CERNER_UNITS,Milligrams per Hour,0,,1970-01-01,2099-12-31,
mg/kg,0,JNJ_CERNER_UNITS,Milligrams per Kilogram,0,,1970-01-01,2099-12-31,
mg/tv,0,JNJ_CERNER_UNITS,Milligrams per Total Volume,0,,1970-01-01,2099-12-31,
mg/vol,0,JNJ_CERNER_UNITS,Milligrams per Volume,0,,1970-01-01,2099-12-31,
10*6/uL,0,JNJ_CERNER_UNITS,Million per Microliter,8815,UCUM,1970-01-01,2099-12-31,
min,0,JNJ_CERNER_UNITS,Minute,9211,UCUM,1970-01-01,2099-12-31,
mL/(4.h),0,JNJ_CERNER_UNITS,Milliliters per 4 Hours,0,,1970-01-01,2099-12-31,
mL/dL,0,JNJ_CERNER_UNITS,Milliliters per Decililter,0,,1970-01-01,2099-12-31,
mL/h,0,JNJ_CERNER_UNITS,Milliliters per Hour,44777613,UCUM,1970-01-01,2099-12-31,
mL/kg,0,JNJ_CERNER_UNITS,Milliliters per Kilogram,9571,UCUM,1970-01-01,2099-12-31,
mlU/mL dup,0,JNJ_CERNER_UNITS,Milli IU/Milliliter dup,0,,1970-01-01,2099-12-31,
mm,0,JNJ_CERNER_UNITS,Millimeter,8588,UCUM,1970-01-01,2099-12-31,
mm/(24.h),0,JNJ_CERNER_UNITS,Millimeters per 24 Hours,0,,1970-01-01,2099-12-31,
mm/L,0,JNJ_CERNER_UNITS,Millimeters per Liter,0,,1970-01-01,2099-12-31,
mm/h,0,JNJ_CERNER_UNITS,Millimeters per Hour,8752,UCUM,1970-01-01,2099-12-31,
mm2,0,JNJ_CERNER_UNITS,Square Millimeter,9572,UCUM,1970-01-01,2099-12-31,
mm3,0,JNJ_CERNER_UNITS,Cubic Millimeter,8686,UCUM,1970-01-01,2099-12-31,
mmH2O,0,JNJ_CERNER_UNITS,Millimeters Water,0,,1970-01-01,2099-12-31,
mm[Hg],0,JNJ_CERNER_UNITS,Millimeters Mercury,0,,1970-01-01,2099-12-31,
mmol,0,JNJ_CERNER_UNITS,Millimoles,9573,UCUM,1970-01-01,2099-12-31,
mmol/(24.h),0,JNJ_CERNER_UNITS,Millimoles per 24 Hours,8910,UCUM,1970-01-01,2099-12-31,
mmol/L,0,JNJ_CERNER_UNITS,Millimoles per Liter,8753,UCUM,1970-01-01,2099-12-31,
mmu,0,JNJ_CERNER_UNITS,Millimass Unit,0,,1970-01-01,2099-12-31,
mol,0,JNJ_CERNER_UNITS,Moles,9584,UCUM,1970-01-01,2099-12-31,
mol/L,0,JNJ_CERNER_UNITS,Moles per Liter,0,,1970-01-01,2099-12-31,
mol/dL,0,JNJ_CERNER_UNITS,Moles per Deciliter,0,,1970-01-01,2099-12-31,
mol/m,0,JNJ_CERNER_UNITS,mol/m,0,,1970-01-01,2099-12-31,
[MPL'U],0,JNJ_CERNER_UNITS,Cardiolipin IgM Units [MPL Units],0,,1970-01-01,2099-12-31,
mps,0,JNJ_CERNER_UNITS,mps,0,,1970-01-01,2099-12-31,
10*6/L,0,JNJ_CERNER_UNITS,Million Units per Liter,0,,1970-01-01,2099-12-31,
10*6/mL,0,JNJ_CERNER_UNITS,Million Units per Milliliter,0,,1970-01-01,2099-12-31,
nm,0,JNJ_CERNER_UNITS,Nanometers,8577,UCUM,1970-01-01,2099-12-31,
ng,0,JNJ_CERNER_UNITS,Nanograms,0,,1970-01-01,2099-12-31,
ng/L,0,JNJ_CERNER_UNITS,Nanograms per Liter,0,,1970-01-01,2099-12-31,
